id,Country,Discipline[A1],Discipline[A2],Discipline[A3],Discipline[A4],Discipline[A5],Discipline[A6],Discipline[A7],Discipline[A8],Discipline[other],Gender,CareerStatus,Institution,NPublishedCor,PDepositedCor,CorSomeComparison[A1],CorSomeComparison[A2],CorSomeComparison[A3],CorSomeComparison[A4],CorSomeComparison[A5],CorSomeComparison[A6],CorSomeDeposited[A1],CorSomeDeposited[A2],CorSomeDeposited[A3],CorSomeDeposited[A4],CorSomeDeposited[A5],CorSomeDeposited[A6],CorSomeDeposited[A7],CorSomeDeposited[A8],CorSomeDeposited[A9],CorSomeDeposited[A10],CorSomeDeposited[A11],CorSomeDeposited[A12],CorSomeDeposited[A13],CorAllDeposited[A1],CorAllDeposited[A2],CorAllDeposited[A3],CorAllDeposited[A4],CorAllDeposited[A5],CorAllDeposited[A6],CorAllDeposited[A7],CorAllDeposited[A8],CorAllDeposited[A9],CorAllDeposited[A10],CorAllDeposited[A11],CorAllDeposited[A12],CorAllDeposited[A13],CorSomeNotDeposited[A1],CorSomeNotDeposited[A2],CorSomeNotDeposited[A3],CorSomeNotDeposited[A4],CorSomeNotDeposited[A5],CorSomeNotDeposited[A6],CorSomeNotDeposited[A7],CorSomeNotDeposited[A8],CorSomeNotDeposited[A9],CorNoneNotDeposited[A1],CorNoneNotDeposited[A2],CorNoneNotDeposited[A3],CorNoneNotDeposited[A4],CorNoneNotDeposited[A5],CorNoneNotDeposited[A6],CorNoneNotDeposited[A7],CorNoneNotDeposited[A8],CorNoneNotDeposited[A9],Region
16,Germany,,,,,,Psychology,,,,Female,Postdoctoral researcher,University,6-10,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disagree,Disagree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Agree,Disagree,Strongly disagree,Global North
17,Germany,,,,,,,Social sciences,,,Male,Postdoctoral researcher,University,11-20,Some of these articles were also deposited as preprints*,Disagree,Agree,Agree,Agree,Agree,Agree,Neutral,Strongly disagree,Strongly disagree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Disagree,,,,,,,,,,,,,,Disagree,Disagree,Disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,,,,,,,,,,Global North
18,Australia,,,,,,Psychology,Social sciences,,,Male,Postdoctoral researcher,University,6-10,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Neutral,Strongly agree,Neutral,Neutral,Global North
19,the United Kingdom of Great Britain and Northern Ireland,,,,,,,,,Building science; energy policy,Male,Research fellow,University,3-5,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disagree,Agree,Agree,Strongly agree,Strongly disagree,Agree,Strongly agree,Agree,Neutral,Global North
20,France,,"Business, management and accounting",,,,,,,,Female,Professor,University,3-5,All of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Neutral,Agree,Agree,Strongly agree,Neutral,Neutral,Agree,Neutral,Agree,,,,,,,,,,,,,,,,,,,Global North
21,Sweden,,"Business, management and accounting",,,,,,,,Female,Professor,University,6-10,All of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Neutral,Neutral,Strongly disagree,Strongly disagree,Neutral,Neutral,,,,,,,,,,,,,,,,,,,Global North
22,Spain,,,,,,,Social sciences,,,Female,Phd student/holder,University,11-20,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Agree,Neutral,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Agree,Strongly disagree,Global North
23,the United Kingdom of Great Britain and Northern Ireland,,,,,,,,,Criminology,Female,Phd student/holder,University,1-2,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Strongly agree,Neutral,Neutral,Neutral,Neutral,Agree,Disagree,Neutral,Global North
25,Spain,,,,"Economics, econometrics and finance",,,,,,Female,Professor,University,11-20,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Neutral,Neutral,Neutral,Strongly disagree,Neutral,Neutral,Strongly disagree,Neutral,Global North
26,the United Kingdom of Great Britain and Northern Ireland,Arts and humanities,,,,,,,,,Male,Professor,University,6-10,All of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,Disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Neutral,Disagree,,,,,,,,,,,,,,,,,,,Global North
27,Sweden,,,,,,,Social sciences,,,Female,Assistant professor,University,6-10,Some of these articles were also deposited as preprints*,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Neutral,Neutral,Neutral,Agree,Strongly agree,Neutral,Agree,Agree,Disagree,Strongly disagree,Strongly agree,,,,,,,,,,,,,,Neutral,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,,,,,,,,,Global North
30,France,Arts and humanities,,,,,,,,"Biology, ethology",Female,Business or industry professional,Business or industry,3-5,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Neutral,Disagree,Neutral,Strongly disagree,Strongly disagree,Disagree,Disagree,Agree,Global North
31,Switzerland,,"Business, management and accounting",,"Economics, econometrics and finance",Multidisciplinary,,Social sciences,,,Male,Postdoctoral researcher,University,3-5,All of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,Agree,Strongly disagree,Strongly disagree,Neutral,Neutral,Strongly agree,Disagree,Agree,Agree,Strongly agree,Agree,Agree,Neutral,,,,,,,,,,,,,,,,,,,Global North
32,Spain,,,,,,,Social sciences,,,Male,Professor,University,6-10,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Neutral,Strongly disagree,Disagree,Disagree,Neutral,Disagree,Agree,Agree,Global North
33,United Republic of Tanzania,,,,"Economics, econometrics and finance",,,,,,Male,Professor,University,21+,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Global South
34,Nigeria,,,,"Economics, econometrics and finance",,,,,,Male,Associate professor,University,21+,Some of these articles were also deposited as preprints*,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Neutral,Disagree,Disagree,Agree,Strongly disagree,Agree,Agree,Disagree,,,,,,,,,,,,,,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,,,,,,,,,,Global South
35,United States of America,Arts and humanities,,,,,,,,,Male,Associate professor,University,6-10,All of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,Strongly agree,Strongly disagree,Strongly disagree,Neutral,Neutral,Strongly agree,Neutral,Strongly agree,Agree,Strongly agree,Agree,Agree,Neutral,,,,,,,,,,,,,,,,,,,Global North
36,the United Kingdom of Great Britain and Northern Ireland,,,,,,,,,Law,Male,Professor,University,3-5,Some of these articles were also deposited as preprints*,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Neutral,Agree,Disagree,Strongly agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,,,,,,,,,,,,,,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,,,,,,,,,,Global North
38,the United Kingdom of Great Britain and Northern Ireland,,,,,,Psychology,,,,Female,Postdoctoral researcher,University,11-20,Some of these articles were also deposited as preprints*,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Neutral,Disagree,Disagree,Disagree,Agree,Disagree,Neutral,Agree,,,,,,,,,,,,,,Neutral,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,,,,,,,,,,Global North
39,Austria,,,,,,Psychology,Social sciences,,,Male,Phd student/holder,University,3-5,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Neutral,Neutral,Neutral,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Neutral,Global North
40,Czech Republic,,,,,,,Social sciences,,,Female,Postdoctoral researcher,Non-university research institution,3-5,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Disagree,Neutral,Global North
41,Ireland,,,,,,,Social sciences,,,Male,Professor,University,6-10,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly disagree,Neutral,Strongly disagree,Disagree,Strongly disagree,Neutral,Disagree,Disagree,Strongly disagree,Global North
43,Germany,,,,,,,Social sciences,,,Male,Assistant professor,University,11-20,Some of these articles were also deposited as preprints*,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Disagree,Disagree,Neutral,Neutral,Agree,Agree,Agree,Neutral,Strongly agree,Agree,Agree,Agree,,,,,,,,,,,,,,Disagree,Neutral,Neutral,Agree,Disagree,Neutral,Neutral,Neutral,Disagree,,,,,,,,,,Global North
44,Norway,,,,,,,Social sciences,,,Female,Professor,University,3-5,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disagree,Neutral,Disagree,Agree,Disagree,Disagree,Disagree,Neutral,Neutral,Global North
45,Portugal,,,,"Economics, econometrics and finance",,,Social sciences,,,Female,Professor,University,6-10,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Agree,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Disagree,Global North
46,Israel,,,,,,,Social sciences,,,Male,Assistant professor,University,6-10,Some of these articles were also deposited as preprints*,Agree,Disagree,Disagree,Neutral,Neutral,Strongly agree,Agree,Agree,Neutral,Agree,Disagree,Agree,Agree,Agree,Disagree,Neutral,Neutral,Neutral,Neutral,,,,,,,,,,,,,,Neutral,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Disagree,,,,,,,,,,Global North
47,Cambodia,Arts and humanities,,,,Multidisciplinary,,Social sciences,,,Male,Phd student/holder,Independent,21+,All of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,Strongly agree,Neutral,Neutral,Strongly agree,Neutral,Strongly agree,Neutral,Strongly agree,Neutral,Strongly agree,Agree,Strongly agree,Disagree,,,,,,,,,,,,,,,,,,,Global South
48,Germany,,,,,,,Social sciences,,,Female,Phd student/holder,University,1-2,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Neutral,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Global North
49,United States of America,,,,"Economics, econometrics and finance",,,,,,Male,Professor,University,21+,Some of these articles were also deposited as preprints*,Neutral,Disagree,Disagree,Disagree,Agree,Agree,Strongly agree,Disagree,Disagree,Neutral,Agree,Agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Neutral,Agree,Neutral,,,,,,,,,,,,,,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,,,,,,,,,,Global North
50,Australia,,"Business, management and accounting",,,,Psychology,,,,Male,Assistant professor,University,6-10,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly disagree,Agree,Disagree,Neutral,Agree,Neutral,Disagree,Disagree,Strongly disagree,Global North
53,Japan,,,,"Economics, econometrics and finance",,,Social sciences,,,Male,Associate professor,University,6-10,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Neutral,Strongly disagree,Agree,Strongly disagree,Neutral,Agree,Agree,Agree,Global North
55,United States of America,,,,,,Psychology,,,,Female,Professor,University,11-20,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Global North
56,Germany,Arts and humanities,,,,,,,,,Female,Postdoctoral researcher,University,11-20,Some of these articles were also deposited as preprints*,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Strongly agree,Disagree,Disagree,Agree,Neutral,Strongly agree,Disagree,Agree,Disagree,Agree,Neutral,Agree,Agree,,,,,,,,,,,,,,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Disagree,Disagree,,,,,,,,,,Global North
57,United States of America,,,,,,Psychology,,,,Female,Professor,University,11-20,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Agree,Agree,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Global North
58,Serbia,Arts and humanities,,,,,,Social sciences,,,Female,Master student/holder,Other,3-5,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Global North
59,Germany,,,,"Economics, econometrics and finance",,,Social sciences,,,Male,Postdoctoral researcher,Non-university research institution,6-10,Some of these articles were also deposited as preprints*,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Strongly disagree,Strongly disagree,Neutral,Neutral,Agree,Agree,Neutral,Agree,Agree,Disagree,Neutral,Agree,,,,,,,,,,,,,,Strongly agree,Strongly disagree,Disagree,Agree,Disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,,,,,,,,,,Global North
60,Malaysia,,,,,,Psychology,,,,Male,Assistant professor,University,6-10,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Global South
61,Denmark,,,Decision sciences,,,,Social sciences,,Environmental,Male,Professor,Other,21+,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Global North
63,Canada,,,,,Multidisciplinary,Psychology,,,,Male,Associate professor,University,11-20,Some of these articles were also deposited as preprints*,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly agree,Strongly agree,Disagree,Strongly disagree,Strongly agree,Neutral,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Neutral,Strongly agree,Agree,,,,,,,,,,,,,,Disagree,Agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Agree,Strongly agree,,,,,,,,,,Global North
65,Germany,,,,,,,Social sciences,,,Male,Postdoctoral researcher,Non-university research institution,6-10,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly disagree,Neutral,Neutral,Strongly agree,Strongly disagree,Neutral,Agree,Neutral,Agree,Global North
66,the United Kingdom of Great Britain and Northern Ireland,,,,,,,Social sciences,,,Male,Associate professor,University,6-10,Some of these articles were also deposited as preprints*,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,,,,,,,,,,,,,,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,,,,,,,,,Global North
67,the United Kingdom of Great Britain and Northern Ireland,Arts and humanities,,,,,,,,,Male,Associate professor,University,6-10,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Neutral,Strongly disagree,Agree,Neutral,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Global North
68,Norway,,,,,Multidisciplinary,,,,,Female,Professor,University,11-20,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Agree,Agree,Disagree,Strongly disagree,Strongly disagree,Neutral,Neutral,Agree,Global North
70,United States of America,Arts and humanities,,,,,,Social sciences,,,Female,Associate professor,University,3-5,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Global North
71,Sweden,Arts and humanities,,,,,,,,,Male,Associate professor,University,3-5,All of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Neutral,Strongly agree,Neutral,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Neutral,,,,,,,,,,,,,,,,,,,Global North
72,the United Kingdom of Great Britain and Northern Ireland,,,,,,Psychology,,,,Female,Professor,University,6-10,Some of these articles were also deposited as preprints*,Disagree,Disagree,Disagree,Disagree,Neutral,Neutral,Strongly agree,Agree,Disagree,Neutral,Neutral,Agree,Disagree,Agree,Agree,Strongly agree,Neutral,Neutral,Agree,,,,,,,,,,,,,,Neutral,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,,,,,,,,,,Global North
74,United States of America,,,,,Multidisciplinary,Psychology,Social sciences,,Healthcare,Female,Associate professor,University,21+,Some of these articles were also deposited as preprints*,Disagree,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Disagree,Disagree,Agree,Neutral,Agree,Agree,Agree,Disagree,Agree,Neutral,Neutral,Neutral,,,,,,,,,,,,,,Strongly agree,Strongly agree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,,,,,,,,,,Global North
75,Russian Federation,,,,,,Psychology,Social sciences,,,Male,Associate professor,University,11-20,Some of these articles were also deposited as preprints*,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Agree,Strongly agree,Disagree,,,,,,,,,,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Agree,Agree,Agree,,,,,,,,,,Global North
76,Russian Federation,,,,,,,Social sciences,,,Female,Phd student/holder,University,6-10,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Neutral,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Global North
77,Poland,,,,,,,Social sciences,,,Male,Associate professor,University,11-20,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disagree,Disagree,Disagree,Agree,Disagree,Neutral,Agree,Disagree,Disagree,Global North
78,the United Kingdom of Great Britain and Northern Ireland,,,,,,,Social sciences,,,Female,Phd student/holder,University,3-5,Some of these articles were also deposited as preprints*,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly agree,Strongly disagree,Strongly disagree,Neutral,Agree,Agree,Disagree,Agree,Disagree,Strongly agree,Agree,Agree,Disagree,,,,,,,,,,,,,,Disagree,Agree,Disagree,Disagree,Neutral,Disagree,Disagree,Disagree,Disagree,,,,,,,,,,Global North
79,Germany,Arts and humanities,,,,Multidisciplinary,,,,,Male,Professor,University,6-10,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Global North
80,Germany,,,Decision sciences,,,,,,,Prefer not to say,Postdoctoral researcher,University,3-5,All of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Strongly agree,Agree,Agree,Agree,Strongly disagree,Disagree,Strongly disagree,,,,,,,,,,,,,,,,,,,Global North
81,France,Arts and humanities,,,,Multidisciplinary,,,,"Biology, mathematics",Male,Postdoctoral researcher,University,11-20,All of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,Agree,Agree,Disagree,Agree,Neutral,Agree,Neutral,Strongly agree,Neutral,Agree,Neutral,Neutral,Agree,,,,,,,,,,,,,,,,,,,Global North
84,Hungary,Arts and humanities,,,,Multidisciplinary,,Social sciences,,,Male,Assistant professor,University,6-10,All of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,Agree,Strongly agree,Agree,Agree,Disagree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,,,,,,,,,,,,,,,,Global North
85,Ireland,,,,,,Psychology,Social sciences,,,Female,Postdoctoral researcher,University,11-20,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Neutral,Neutral,Neutral,Neutral,Disagree,Strongly disagree,Strongly disagree,Neutral,Global North
86,United States of America,,,,,,Psychology,Social sciences,,,Male,Phd student/holder,University,6-10,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Neutral,Neutral,Neutral,Disagree,Neutral,Agree,Disagree,Neutral,Global North
