id,Country,Discipline[A3],Discipline[A2],Discipline[A4],Discipline[A1],Discipline[A5],Discipline[other],Gender,CareerStatus,Institution,NPublishedCor,PDepositedCor,CorSomeComparison[A1],CorSomeComparison[A2],CorSomeComparison[A3],CorSomeComparison[A4],CorSomeComparison[A5],CorSomeComparison[A6],CorSomeDeposited[A1],CorSomeDeposited[A2],CorSomeDeposited[A3],CorSomeDeposited[A4],CorSomeDeposited[A5],CorSomeDeposited[A6],CorSomeDeposited[A7],CorSomeDeposited[A8],CorSomeDeposited[A9],CorSomeDeposited[A10],CorSomeDeposited[A11],CorSomeDeposited[A12],CorSomeDeposited[A13],CorAllDeposited[A1],CorAllDeposited[A2],CorAllDeposited[A3],CorAllDeposited[A4],CorAllDeposited[A5],CorAllDeposited[A6],CorAllDeposited[A7],CorAllDeposited[A8],CorAllDeposited[A9],CorAllDeposited[A10],CorAllDeposited[A11],CorAllDeposited[A12],CorAllDeposited[A13],CorSomeNotDeposited[A1],CorSomeNotDeposited[A2],CorSomeNotDeposited[A3],CorSomeNotDeposited[A4],CorSomeNotDeposited[A5],CorSomeNotDeposited[A6],CorSomeNotDeposited[A7],CorSomeNotDeposited[A8],CorSomeNotDeposited[A9],CorNoneNotDeposited[A1],CorNoneNotDeposited[A2],CorNoneNotDeposited[A3],CorNoneNotDeposited[A4],CorNoneNotDeposited[A5],CorNoneNotDeposited[A6],CorNoneNotDeposited[A7],CorNoneNotDeposited[A8],CorNoneNotDeposited[A9],Region
25,Brazil,,"Economics, econometrics and finance (miscellaneous)",Finance,,,,Male,Business or industry professional,Business or industry,6-10,All of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,Agree,Neutral,Agree,Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,,,,,,,,,,,,,,,,Global South
26,India,,,,,,Psychology,Female,Associate professor,University,3-5,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Disagree,Agree,Strongly disagree,Strongly disagree,Global South
27,Germany,,,,,Prefer not to say,,Female,Professor,University,21+,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Agree,Strongly disagree,Agree,Strongly disagree,Disagree,Agree,Strongly disagree,Strongly disagree,Global North
28,Spain,Economics and econometrics,"Economics, econometrics and finance (miscellaneous)",,,,,Male,Professor,University,21+,Some of these articles were also deposited as working paper*,Agree,Strongly agree,Agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Agree,Agree,Strongly agree,Strongly agree,Neutral,Agree,Strongly agree,Agree,Neutral,Agree,,,,,,,,,,,,,,Strongly disagree,Agree,Strongly disagree,Agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,,,,,,,,,Global North
29,Ukraine,,"Economics, econometrics and finance (miscellaneous)",,,,,Female,Professor,University,3-5,All of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,Strongly agree,Neutral,Neutral,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,,,,,,,,,,,,,,,,,,,Global North
30,South Africa,,"Economics, econometrics and finance (miscellaneous)",,,,,Male,Postdoctoral researcher,Non-university research institution,1-2,Some of these articles were also deposited as working paper*,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,,,,,,,,,,,,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,,,,,,,,,,Global South
31,Italy,Economics and econometrics,,,,,,Male,Associate professor,University,3-5,All of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Neutral,Strongly agree,Neutral,Disagree,Disagree,Neutral,Disagree,Strongly disagree,,,,,,,,,,,,,,,,,,,Global North
32,Russian Federation,,,,,,"History, international relations, politology, world politics, diplomacy, ethics of science",Male,Other,University,21+,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Global North
33,Spain,,"Economics, econometrics and finance (miscellaneous)",,,,,Male,Associate professor,University,3-5,Some of these articles were also deposited as working paper*,Disagree,Disagree,Disagree,Agree,Strongly agree,Agree,Agree,Strongly disagree,Strongly disagree,Neutral,Neutral,Disagree,Strongly disagree,Agree,Agree,Agree,Neutral,Disagree,Agree,,,,,,,,,,,,,,Disagree,Agree,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,,,,,,,,,Global North
35,the United Kingdom of Great Britain and Northern Ireland,Economics and econometrics,,,,,,Male,Professor,University,3-5,All of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,Agree,Neutral,Strongly disagree,Neutral,Neutral,Neutral,Agree,Disagree,Disagree,Strongly disagree,Neutral,Disagree,Neutral,,,,,,,,,,,,,,,,,,,Global North
36,Russian Federation,,,,,,Mathematics,Male,Professor,Non-university research institution,6-10,Some of these articles were also deposited as working paper*,Agree,Neutral,Neutral,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Neutral,Neutral,Disagree,,,,,,,,,,,,,,Disagree,Agree,Neutral,Agree,Disagree,Disagree,Disagree,Neutral,Agree,,,,,,,,,,Global North
37,Romania,,,,,,Applied economics and statistics,Male,Assistant professor,University,11-20,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly disagree,Neutral,Disagree,Strongly agree,Neutral,Neutral,Agree,Neutral,Neutral,Global North
38,the United Kingdom of Great Britain and Northern Ireland,,,Finance,,,,Male,Professor,University,21+,All of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,Strongly agree,Strongly disagree,Agree,Agree,Strongly disagree,Strongly agree,Neutral,Agree,Agree,Agree,Strongly agree,Agree,Neutral,,,,,,,,,,,,,,,,,,,Global North
41,France,Economics and econometrics,,,,,,Male,Postdoctoral researcher,University,1-2,All of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,Agree,Strongly agree,Strongly disagree,Neutral,Disagree,Strongly agree,Strongly disagree,Neutral,Strongly agree,Agree,Neutral,Neutral,Strongly disagree,,,,,,,,,,,,,,,,,,,Global North
43,the United Kingdom of Great Britain and Northern Ireland,,,,,,Political economy,Male,Professor,University,6-10,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly disagree,Agree,Strongly disagree,Agree,Strongly disagree,Neutral,Disagree,Strongly disagree,Neutral,Global North
44,Switzerland,,"Economics, econometrics and finance (miscellaneous)",,,,,Male,Postdoctoral researcher,University,3-5,All of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,Strongly agree,Disagree,Neutral,Agree,Neutral,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Disagree,Agree,,,,,,,,,,,,,,,,,,,Global North
45,Spain,,,,,,Economic history,Male,Other,Non-university research institution,21+,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Disagree,Neutral,Agree,Disagree,Global North
46,the United Kingdom of Great Britain and Northern Ireland,Economics and econometrics,"Economics, econometrics and finance (miscellaneous)",,,,,Male,Assistant professor,University,3-5,Some of these articles were also deposited as working paper*,Neutral,Disagree,Neutral,Disagree,Agree,Agree,Strongly agree,Disagree,Strongly disagree,Agree,Neutral,Agree,Neutral,Agree,Agree,Disagree,Disagree,Neutral,Disagree,,,,,,,,,,,,,,Neutral,Disagree,Strongly disagree,Neutral,Agree,Disagree,Neutral,Neutral,Neutral,,,,,,,,,,Global North
48,South Africa,,,,,,Behavioural economics,Female,Associate professor,University,6-10,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Strongly agree,Strongly disagree,Strongly disagree,Global South
49,Ethiopia,,,,"General economics, econometrics and finance",,,Male,Assistant professor,University,3-5,Some of these articles were also deposited as working paper*,Disagree,Disagree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Agree,,,,,,,,,,,,,,Neutral,Neutral,Agree,Neutral,Neutral,Disagree,Disagree,Neutral,Neutral,,,,,,,,,,Global South
51,Germany,,,,,,Economic geography,Male,Professor,University,6-10,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral,Neutral,Neutral,Agree,Disagree,Disagree,Disagree,Agree,Neutral,Global North
52,Germany,Economics and econometrics,,,,,,Female,Phd student/holder,University,1-2,All of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,Agree,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Neutral,Disagree,Strongly disagree,,,,,,,,,,,,,,,,,,,Global North
53,Denmark,,,,,Prefer not to say,,Male,Senior researcher,Non-university research institution,3-5,Some of these articles were also deposited as working paper*,Agree,Agree,Agree,Agree,Neutral,Strongly agree,Strongly agree,Disagree,Disagree,Neutral,Neutral,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Neutral,Neutral,,,,,,,,,,,,,,Disagree,Disagree,Disagree,Neutral,Disagree,Disagree,Agree,Disagree,Disagree,,,,,,,,,,Global North
54,Italy,,"Economics, econometrics and finance (miscellaneous)",,,,,Male,Professor,University,3-5,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Global North
55,Germany,,,,,,"Biodiversity research, science-policy",Male,Master student/holder,University,6-10,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disagree,Neutral,Disagree,Neutral,Neutral,Neutral,Disagree,Disagree,Strongly disagree,Global North
57,Russian Federation,Economics and econometrics,,,,,Business and management,Female,Assistant professor,University,3-5,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Neutral,Disagree,Neutral,Neutral,Global North
58,Czech Republic,,,,,,Marketing and business,Male,Assistant professor,University,21+,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disagree,Disagree,Disagree,Agree,Disagree,Neutral,Disagree,Disagree,Disagree,Global North
60,Australia,,,,,,Marketing,Male,Assistant professor,University,21+,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral,Disagree,Disagree,Agree,Neutral,Disagree,Agree,Strongly disagree,Disagree,Global North
61,France,,,,"General economics, econometrics and finance",,,Female,Professor,Non-university research institution,11-20,All of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,Strongly disagree,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,,,,,,,,,,,,,,,,,,,Global North
62,Turkey,Economics and econometrics,,,,,,Male,Assistant professor,University,6-10,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disagree,Neutral,Strongly disagree,Agree,Disagree,Strongly disagree,Strongly disagree,Disagree,Neutral,Global North
64,Switzerland,Economics and econometrics,,,,,,Male,Postdoctoral researcher,University,1-2,All of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,Strongly agree,Neutral,Strongly disagree,Agree,Agree,Strongly agree,Agree,Agree,Neutral,Strongly agree,Agree,Neutral,Disagree,,,,,,,,,,,,,,,,,,,Global North
66,Poland,Economics and econometrics,,,,,,Male,Associate professor,University,21+,Some of these articles were also deposited as working paper*,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Strongly agree,Disagree,Disagree,Neutral,Neutral,Agree,Strongly agree,Neutral,Agree,Agree,Neutral,Neutral,Disagree,,,,,,,,,,,,,,Neutral,Neutral,Neutral,Agree,Disagree,Neutral,Agree,Neutral,Neutral,,,,,,,,,,Global North
67,the United Kingdom of Great Britain and Northern Ireland,Economics and econometrics,,,"General economics, econometrics and finance",,Labor economics,Female,Associate professor,University,6-10,Some of these articles were also deposited as working paper*,Neutral,Agree,Agree,Disagree,Agree,Agree,Strongly agree,Disagree,Disagree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,,,,,,,,,,,,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,,,,,,,,,,Global North
68,Australia,,,,,,Sustainable finance ,Female,Professor,University,21+,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly disagree,Agree,Disagree,Agree,Neutral,Neutral,Agree,Agree,Neutral,Global North
69,Germany,Economics and econometrics,,,,,,Male,Professor,University,3-5,Some of these articles were also deposited as working paper*,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Neutral,Neutral,Strongly agree,Neutral,Agree,Agree,Strongly agree,Disagree,Disagree,Neutral,,,,,,,,,,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,,,,,,,,,Global North
70,Australia,,"Economics, econometrics and finance (miscellaneous)",Finance,,,,Male,Associate professor,University,11-20,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral,Neutral,Neutral,Strongly agree,Neutral,Strongly agree,Neutral,Neutral,Neutral,Global North
71,Portugal,,,,,,Heritage science,Male,Researcher,Non-university research institution,6-10,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Global North
72,Iran (Islamic Republic of),,"Economics, econometrics and finance (miscellaneous)",,,,,Male,Master student/holder,Independent,11-20,Some of these articles were also deposited as working paper*,Agree,Agree,Neutral,Strongly agree,Neutral,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Disagree,Neutral,Neutral,,,,,,,,,,,,,,Agree,Agree,Neutral,Disagree,Neutral,Disagree,Neutral,Disagree,Neutral,,,,,,,,,,Global South
74,Switzerland,Economics and econometrics,,,,,,Male,Professor,University,1-2,All of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,Strongly agree,Strongly disagree,Strongly disagree,Agree,Agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree,,,,,,,,,,,,,,,,,,,Global North
75,Russian Federation,Economics and econometrics,,,,,Agricultural economics,Male,Professor,Non-university research institution,21+,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly disagree,Agree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Neutral,Neutral,Strongly disagree,Global North
77,Belgium,,"Economics, econometrics and finance (miscellaneous)",,,,,Female,Phd student/holder,University,3-5,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Neutral,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Global North
78,France,,,,,,Management,Female,Associate professor,University,3-5,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Disagree,Neutral,Global North
79,Finland,Economics and econometrics,,,,,,Male,Professor,Non-university research institution,6-10,Some of these articles were also deposited as working paper*,Disagree,Disagree,Disagree,Disagree,Agree,Neutral,Agree,Strongly disagree,Strongly disagree,Agree,Neutral,Agree,Agree,Neutral,Disagree,Agree,Neutral,Neutral,Neutral,,,,,,,,,,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,,,,,,,,,,Global North
80,Spain,Economics and econometrics,,,,,,Male,Postdoctoral researcher,Non-university research institution,3-5,All of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,Strongly agree,Neutral,Agree,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Neutral,Disagree,,,,,,,,,,,,,,,,,,,Global North
81,France,Economics and econometrics,,,,,Law,Prefer not to say,Associate professor,University,11-20,All of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,,,,,,,,,,,,,,,,,,,Global North
84,Germany,Economics and econometrics,,,,,,Male,Associate professor,University,11-20,All of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,Strongly agree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,,,,,,,,,,,,,,,,,,,Global North
86,South Africa,Economics and econometrics,,,,,,Male,Professor,University,21+,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Strongly agree,Neutral,Strongly agree,Disagree,Strongly agree,Agree,Strongly disagree,Disagree,Global South
89,France,Economics and econometrics,,,,,,Male,Professor,University,11-20,Some of these articles were also deposited as working paper*,Disagree,Disagree,Disagree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,,,,,,,,,,,,,,Neutral,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly disagree,,,,,,,,,,Global North
91,the United Kingdom of Great Britain and Northern Ireland,,,Finance,,,,Male,Professor,University,11-20,All of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,Strongly agree,Strongly agree,Strongly disagree,Agree,Agree,Strongly agree,Strongly agree,Agree,Neutral,Strongly agree,Agree,Strongly disagree,Agree,,,,,,,,,,,,,,,,,,,Global North
92,Indonesia,,,,"General economics, econometrics and finance",,,Male,Business or industry professional,Business or industry,3-5,Some of these articles were also deposited as working paper*,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,,,,,,,,,,,,,,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,,,,,,,,,,Global South
93,Germany,Economics and econometrics,,,,,,Male,Professor,University,11-20,Some of these articles were also deposited as working paper*,Neutral,Disagree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Neutral,Disagree,Agree,Neutral,Agree,Neutral,Disagree,,,,,,,,,,,,,,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Neutral,,,,,,,,,,Global North
94,Germany,Economics and econometrics,,,,,,Male,Assistant professor,University,6-10,Some of these articles were also deposited as working paper*,Agree,Neutral,Agree,Agree,Agree,Agree,Strongly agree,Neutral,Agree,Agree,Disagree,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Disagree,,,,,,,,,,,,,,Disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Disagree,Disagree,Disagree,Agree,,,,,,,,,,Global North
95,Romania,,,,"General economics, econometrics and finance",,,Male,Associate professor,University,11-20,Some of these articles were also deposited as working paper*,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,,,,,,,,,,,,,,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Neutral,,,,,,,,,,Global North
96,Czech Republic,,,,,,Earth sciences,Male,Associate professor,University,11-20,Some of these articles were also deposited as working paper*,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Agree,Strongly disagree,Disagree,Strongly disagree,Neutral,Strongly disagree,Agree,Disagree,Disagree,Neutral,Neutral,Neutral,,,,,,,,,,,,,,Agree,Agree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,,,,,,,,,Global North
97,Spain,Economics and econometrics,,,,,,Female,Assistant professor,University,3-5,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Neutral,Neutral,Neutral,Neutral,Disagree,Strongly disagree,Strongly disagree,Disagree,Global North
98,United States of America,Economics and econometrics,,,,,,Female,Assistant professor,University,11-20,Some of these articles were also deposited as working paper*,Neutral,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,,,,,,,,,,,,Agree,Strongly disagree,Disagree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,,,,,,,,,,Global North
