code,question,likerts scale question,note
CorNoneNotDeposited[A9],You indicated that you deposited working papers for none of the articles that you published in an academic journal in the past 5 years.  Considering these articles,My/our work did not fit within the scope of any preprint repository,
interviewtime,Total time,,following rows (with Time subsring) shows how many time it took for each participant to answer each question
groupTime1260,Group time: Personal Information,,
CountryTime,Question time: Country,,
DisciplineTime,Question time: Discipline,,
GenderTime,Question time: Gender,,
CareerStatusTime,Question time: CareerStatus,,
InstitutionTime,Question time: Institution,,
groupTime1258,Group time: Authorships: articles and working papers,,
NPublishedCorTime,Question time: NPublishedCor,,
PDepositedCorTime,Question time: PDepositedCor,,
groupTime1259,Group time: Authorships: working paper motivations,,
CorSomeComparisonTime,Question time: CorSomeComparison,,
CorComparisonFreeTime,Question time: CorComparisonFree,,
CorSomeDepositedTime,Question time: CorSomeDeposited,,
CorAllDepositedTime,Question time: CorAllDeposited,,
CorDepositedFreeTime,Question time: CorDepositedFree,,
CorSomeNotDepositedTime,Question time: CorSomeNotDeposited,,
CorNoneNotDepositedTime,Question time: CorNoneNotDeposited,,
CorNotDepositedFreeTime,Question time: CorNotDepositedFree,,
groupTime1261,Group time: Additional Feedback,,
FeedbackSurveyTime,Question time: FeedbackSurvey,,
FollowUpParticipantTime,Question time: FollowUpParticipant,,
FollowUpEmailTime,Question time: FollowUpEmail,,
