id,submitdate,lastpage,startlanguage,startdate,datestamp,Country,Country[other],Discipline[A2],Discipline[A3],Discipline[A4],Discipline[A6],Discipline[A1],Discipline[A5],Discipline[other],Gender,CareerStatus,CareerStatus[other],Institution,Institution[other],NPublishedCor,PDepositedCor,CorSomeComparison[A1],CorSomeComparison[A2],CorSomeComparison[A3],CorSomeComparison[A4],CorSomeComparison[A5],CorSomeComparison[A6],CorSomeDeposited[A1],CorSomeDeposited[A2],CorSomeDeposited[A3],CorSomeDeposited[A4],CorSomeDeposited[A5],CorSomeDeposited[A6],CorSomeDeposited[A7],CorSomeDeposited[A8],CorSomeDeposited[A9],CorSomeDeposited[A10],CorSomeDeposited[A11],CorSomeDeposited[A12],CorSomeDeposited[A13],CorAllDeposited[A1],CorAllDeposited[A2],CorAllDeposited[A3],CorAllDeposited[A4],CorAllDeposited[A5],CorAllDeposited[A6],CorAllDeposited[A7],CorAllDeposited[A8],CorAllDeposited[A9],CorAllDeposited[A10],CorAllDeposited[A11],CorAllDeposited[A12],CorAllDeposited[A13],CorSomeNotDeposited[A1],CorSomeNotDeposited[A2],CorSomeNotDeposited[A3],CorSomeNotDeposited[A4],CorSomeNotDeposited[A5],CorSomeNotDeposited[A6],CorSomeNotDeposited[A7],CorSomeNotDeposited[A8],CorSomeNotDeposited[A9],CorNoneNotDeposited[A1],CorNoneNotDeposited[A2],CorNoneNotDeposited[A3],CorNoneNotDeposited[A4],CorNoneNotDeposited[A5],CorNoneNotDeposited[A6],CorNoneNotDeposited[A7],CorNoneNotDeposited[A8],CorNoneNotDeposited[A9],interviewtime,groupTime1264,CountryTime,DisciplineTime,GenderTime,CareerStatusTime,InstitutionTime,groupTime1262,NPublishedCorTime,PDepositedCorTime,groupTime1263,CorSomeComparisonTime,CorComparisonFreeTime,CorSomeDepositedTime,CorAllDepositedTime,CorDepositedFreeTime,CorSomeNotDepositedTime,CorNoneNotDepositedTime,CorNotDepositedFreeTime,groupTime1265,FeedbackSurveyTime,FollowUpParticipantTime,FollowUpEmailTime
22,2020-12-03 15:28:36,4.0,en,2020-12-03 15:25:25,2020-12-03 15:28:36,the United Kingdom of Great Britain and Northern Ireland,,No,No,No,No,No,No,Wetland ecology,Male,Other,Adjunct Professor,University,,11-20,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral,Strongly agree,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,192.75,83.23,,,,,,26.78,,,72.42,,,,,,,,,10.32,,,
23,2020-12-03 15:30:52,4.0,en,2020-12-03 15:25:34,2020-12-03 15:30:52,United States of America,,No,No,No,No,Yes,No,,Male,Professor,,University,,11-20,Some of these articles were also deposited as preprints*,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Disagree,Disagree,Agree,Disagree,Agree,Neutral,Agree,Agree,Agree,Neutral,Neutral,Disagree,,,,,,,,,,,,,,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,,,,,,,,,,319.09,25.25,,,,,,63.07,,,223.57,,,,,,,,,7.2,,,
24,,2.0,en,2020-12-03 15:25:38,2020-12-03 15:33:05,India,,No,No,No,No,No,No,Chemistry,Male,Assistant Professor,,University,,6-10,Some of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,448.16,411.37,,,,,,36.79,,,,,,,,,,,,,,,
25,,2.0,en,2020-12-03 15:25:43,2020-12-03 15:26:51,United States of America,,No,Yes,No,No,No,No,,Female,Assistant Professor,,University,,21+,Some of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.35,39.19,,,,,,29.16,,,,,,,,,,,,,,,
26,2020-12-03 15:28:51,4.0,en,2020-12-03 15:26:17,2020-12-03 15:28:51,Turkey,,No,No,No,No,No,No,Geomatics,Male,Associate Professor,,University,,3-5,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Agree,Agree,Disagree,155.78,48.33,,,,,,32.09,,,62.38,,,,,,,,,12.98,,,
27,,,en,2020-12-03 15:26:23,2020-12-03 15:26:23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
28,2020-12-03 15:30:14,4.0,en,2020-12-03 15:28:00,2020-12-03 15:30:14,Norway,,No,Yes,No,No,No,No,,Female,Postdoctoral researcher,,Non-university research institution,,3-5,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Agree,Neutral,Agree,Disagree,Neutral,Disagree,Disagree,Neutral,134.57,27.31,,,,,,41.06,,,61.0,,,,,,,,,5.2,,,
29,2020-12-03 15:35:47,4.0,en,2020-12-03 15:28:42,2020-12-03 15:35:47,Croatia,,No,No,No,No,Yes,No,,Female,Associate Professor,,Non-university research institution,,11-20,Some of these articles were also deposited as preprints*,Neutral,Neutral,Neutral,Agree,Agree,Agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,Neutral,,,,,,,,,,,,,,Agree,Strongly agree,Neutral,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,,,,,,,,,426.81,128.15,,,,,,59.75,,,201.37,,,,,,,,,37.54,,,
30,,2.0,en,2020-12-03 15:29:10,2020-12-03 15:31:26,Italy,,No,No,No,No,No,No,Mechanical engineering ,Male,Postdoctoral researcher,,University,,3-5,Some of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.09,71.24,,,,,,65.85,,,,,,,,,,,,,,,
31,2020-12-03 15:32:43,4.0,en,2020-12-03 15:29:32,2020-12-03 15:32:43,Croatia,,No,No,No,No,No,No,Engineering,Male,Associate Professor,,University,,21+,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Strongly agree,Strongly disagree,Neutral,Strongly disagree,Agree,Strongly agree,Neutral,Neutral,192.87,52.11,,,,,,56.71,,,62.45,,,,,,,,,21.6,,,
32,2020-12-03 15:36:28,4.0,en,2020-12-03 15:32:45,2020-12-03 15:36:28,United States of America,,No,No,No,Yes,No,No,,Female,Professor,,University,,21+,Some of these articles were also deposited as preprints*,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Strongly disagree,Neutral,Agree,Disagree,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,,,,,,,,,,,,,,Strongly agree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,,,,,,,,,225.03,31.57,,,,,,18.8,,,172.01,,,,,,,,,2.65,,,
33,2020-12-03 15:38:54,4.0,en,2020-12-03 15:34:23,2020-12-03 15:38:54,United States of America,,No,No,Yes,No,No,No,Space Science,Male,Professor,,University,,21+,Some of these articles were also deposited as preprints*,Neutral,Neutral,Neutral,Neutral,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Neutral,Agree,Agree,Neutral,Strongly disagree,Strongly disagree,,,,,,,,,,,,,,Strongly agree,Strongly agree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,,,,,,,,,,272.86,61.12,,,,,,19.73,,,181.67,,,,,,,,,10.34,,,
34,,2.0,en,2020-12-03 15:34:31,2020-12-03 15:36:07,Portugal,,No,Yes,No,No,No,No,,Male,Associate Professor,,University,,11-20,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.84,51.95,,,,,,45.89,,,,,,,,,,,,,,,
35,2020-12-03 15:38:51,4.0,en,2020-12-03 15:35:51,2020-12-03 15:38:51,United States of America,,No,Yes,No,Yes,Yes,No,,Female,PhD student,,Non-university research institution,,6-10,Some of these articles were also deposited as preprints*,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Disagree,Disagree,Agree,Disagree,Strongly agree,Neutral,Agree,Agree,Strongly agree,Neutral,Agree,Strongly agree,,,,,,,,,,,,,,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,,,,,,,,,,182.93,30.69,,,,,,16.61,,,128.81,,,,,,,,,6.82,,,
36,2020-12-03 15:39:45,4.0,en,2020-12-03 15:35:59,2020-12-03 15:39:45,Belgium,,No,No,No,No,No,No,estuarine ecology,Male,Other,PhD senior Researcher,Non-university research institution,,11-20,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,227.51,75.12,,,,,,62.45,,,58.8,,,,,,,,,31.14,,,
37,2020-12-03 15:47:25,4.0,en,2020-12-03 15:36:25,2020-12-03 15:47:25,Italy,,No,No,Yes,No,No,No,,Female,Other,research scientist,Non-university research institution,,6-10,Some of these articles were also deposited as preprints*,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Strongly agree,Neutral,Strongly disagree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,Neutral,Neutral,Disagree,,,,,,,,,,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,,,,,,,,,661.46,52.03,,,,,,120.82,,,450.48,,,,,,,,,38.13,,,
38,2020-12-03 15:44:48,4.0,en,2020-12-03 15:36:30,2020-12-03 15:44:48,Russian Federation,,No,Yes,No,No,No,No,,Male,Other,Senior Scientist,University,,11-20,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral,Agree,Disagree,Neutral,Disagree,Disagree,Disagree,Neutral,Neutral,500.01,95.58,,,,,,181.4,,,146.38,,,,,,,,,76.65,,,
40,2020-12-03 15:42:47,4.0,en,2020-12-03 15:38:58,2020-12-03 15:42:47,United States of America,,No,No,No,No,No,No,Environmental archaeology,Female,Other,Assistant research professor,University,,11-20,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral,Strongly agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,229.94,59.21,,,,,,80.93,,,65.07,,,,,,,,,24.73,,,
41,2020-12-03 15:46:42,4.0,en,2020-12-03 15:41:42,2020-12-03 15:46:42,France,,No,Yes,No,No,No,No,,Male,Postdoctoral researcher,,University,,3-5,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly disagree,Strongly agree,Strongly agree,Neutral,Strongly disagree,Neutral,Agree,Strongly agree,Strongly disagree,302.93,52.61,,,,,,56.54,,,146.94,,,,,,,,,46.84,,,
42,2020-12-03 15:54:30,4.0,en,2020-12-03 15:42:04,2020-12-03 15:54:30,Chile,,No,Yes,No,Yes,No,No,,Male,Associate Professor,,University,,11-20,Some of these articles were also deposited as preprints*,Agree,Agree,Neutral,Strongly agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,,,,,,,,,,,Neutral,Agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,,,,,,,,,,747.7,52.31,,,,,,31.37,,,565.58,,,,,,,,,98.44,,,
43,2020-12-03 15:47:56,4.0,en,2020-12-03 15:42:56,2020-12-03 15:47:56,Poland,,No,Yes,No,No,No,No,,Female,Postdoctoral researcher,,Non-university research institution,,6-10,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,302.55,31.67,,,,,,202.82,,,59.25,,,,,,,,,8.81,,,
44,2020-12-03 15:46:26,4.0,en,2020-12-03 15:43:52,2020-12-03 15:46:26,Germany,,No,No,No,Yes,Yes,No,,Male,Postdoctoral researcher,,Non-university research institution,,1-2,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Neutral,Neutral,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Strongly agree,Neutral,156.48,26.97,,,,,,39.64,,,72.4,,,,,,,,,17.47,,,
45,2020-12-03 15:52:33,4.0,en,2020-12-03 15:44:53,2020-12-03 15:52:33,Germany,,No,No,No,No,No,No,Paleoceanography,Male,Postdoctoral researcher,,University,,21+,Some of these articles were also deposited as preprints*,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Neutral,Disagree,Neutral,Agree,Agree,Neutral,Agree,Neutral,,,,,,,,,,,,,,Disagree,Neutral,Disagree,Neutral,Disagree,Disagree,Agree,Disagree,Disagree,,,,,,,,,,463.15,49.85,,,,,,23.72,,,351.66,,,,,,,,,37.92,,,
46,2020-12-03 15:51:10,4.0,en,2020-12-03 15:45:03,2020-12-03 15:51:10,United States of America,,No,No,No,No,Yes,No,,Male,Assistant Professor,,University,,21+,Some of these articles were also deposited as preprints*,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Neutral,Neutral,Strongly agree,Disagree,Agree,Agree,Neutral,Disagree,Agree,Neutral,Disagree,Strongly agree,,,,,,,,,,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,,,,,,,,,,370.06,31.8,,,,,,70.65,,,251.97,,,,,,,,,15.64,,,
47,,2.0,en,2020-12-03 15:45:05,2020-12-03 15:47:15,Italy,,No,No,No,No,No,No,freshwater ecology,Female,Postdoctoral researcher,,University,,21+,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.18,49.11,,,,,,81.07,,,,,,,,,,,,,,,
48,2020-12-03 15:50:21,4.0,en,2020-12-03 15:45:22,2020-12-03 15:50:21,Morocco,,No,No,No,No,No,No,ecology,Male,Postdoctoral researcher,,Non-university research institution,,1-2,All of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,,,,,,,,,,,,,,,,,,301.06,119.57,,,,,,21.23,,,143.86,,,,,,,,,16.4,,,
49,2020-12-03 15:48:41,4.0,en,2020-12-03 15:46:05,2020-12-03 15:48:41,Norway,,No,No,No,No,No,No,Marine Structural Engineering,Male,Business or industry professional,,Business or industry,,3-5,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Neutral,Neutral,Agree,Strongly disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,157.45,57.18,,,,,,28.44,,,67.02,,,,,,,,,4.81,,,
50,2020-12-03 15:51:10,4.0,en,2020-12-03 15:48:33,2020-12-03 15:51:10,United States of America,,Yes,No,Yes,No,No,No,,Female,Postdoctoral researcher,,Business or industry,,1-2,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Strongly agree,Neutral,Neutral,159.06,50.76,,,,,,27.55,,,74.23,,,,,,,,,6.52,,,
51,2020-12-03 15:52:20,4.0,en,2020-12-03 15:49:57,2020-12-03 15:52:20,Italy,,No,Yes,Yes,No,No,No,,Female,Postdoctoral researcher,,University,,6-10,All of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,Agree,Agree,Strongly disagree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Disagree,Neutral,Neutral,,,,,,,,,,,,,,,,,,,144.81,28.59,,,,,,33.38,,,61.17,,,,,,,,,21.67,,,
52,,2.0,en,2020-12-03 15:50:37,2020-12-03 15:52:02,Germany,,No,No,No,No,No,No,Coastal Engineering,Male,PhD student,,University,,1-2,Some of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.02,59.3,,,,,,26.72,,,,,,,,,,,,,,,
53,2020-12-03 15:57:08,4.0,en,2020-12-03 15:51:58,2020-12-03 15:57:08,France,,No,No,No,No,No,No,"Metrology, instrumentation",Male,Other,Researcher,Non-university research institution,,6-10,Some of these articles were also deposited as preprints*,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,,,,,,,,,,,,,,Disagree,Neutral,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,,,,,,,,,,312.91,64.79,,,,,,29.9,,,205.65,,,,,,,,,12.57,,,
54,2020-12-03 15:58:26,4.0,en,2020-12-03 15:52:13,2020-12-03 15:58:26,Germany,,No,No,No,Yes,Yes,No,Sea Ice,Male,Postdoctoral researcher,,Non-university research institution,,6-10,Some of these articles were also deposited as preprints*,Neutral,Agree,Disagree,Neutral,Agree,Strongly agree,Strongly agree,Disagree,Disagree,Neutral,Disagree,Agree,Agree,Strongly agree,Neutral,Strongly agree,Neutral,Agree,Agree,,,,,,,,,,,,,,Strongly agree,Agree,Disagree,Neutral,Disagree,Disagree,Strongly disagree,Agree,Neutral,,,,,,,,,,375.47,51.89,,,,,,69.36,,,238.79,,,,,,,,,15.43,,,
55,2020-12-03 16:00:51,4.0,en,2020-12-03 15:53:02,2020-12-03 16:00:51,Sweden,,Yes,No,Yes,No,No,No,Palaeolimate,Male,Other,"Externally-funded researcher (i.e. ""permadoc"")",University,,6-10,Some of these articles were also deposited as preprints*,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Neutral,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Neutral,Agree,Neutral,Neutral,Neutral,,,,,,,,,,,,,,Disagree,Neutral,Disagree,Disagree,Neutral,Disagree,Disagree,Strongly disagree,Disagree,,,,,,,,,,469.37,79.52,,,,,,54.99,,,302.63,,,,,,,,,32.23,,,
56,2020-12-03 16:01:17,4.0,en,2020-12-03 15:54:23,2020-12-03 16:01:17,Canada,,No,No,No,Yes,No,No,,Female,Professor,,Non-university research institution,,21+,Some of these articles were also deposited as preprints*,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Strongly agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly agree,,,,,,,,,,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,,,,,,,,,,415.37,87.45,,,,,,26.3,,,277.59,,,,,,,,,24.03,,,
57,2020-12-03 15:58:28,4.0,en,2020-12-03 15:54:30,2020-12-03 15:58:28,the United Kingdom of Great Britain and Northern Ireland,,No,No,No,No,Yes,No,,Male,Postdoctoral researcher,,University,,21+,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral,Neutral,Neutral,Strongly agree,Neutral,Neutral,Neutral,Neutral,Neutral,239.17,37.03,,,,,,100.2,,,93.13,,,,,,,,,8.81,,,
58,,,en,2020-12-03 15:54:54,2020-12-03 15:54:54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
59,,,en,2020-12-03 15:57:53,2020-12-03 15:57:53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
60,,2.0,en,2020-12-03 15:58:45,2020-12-03 16:03:39,Poland,,No,Yes,No,No,No,No,,Female,Associate Professor,,University,,11-20,Some of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294.96,73.54,,,,,,221.42,,,,,,,,,,,,,,,
