id,submitdate,lastpage,startlanguage,startdate,datestamp,Country,Country[other],Discipline[A3],Discipline[A2],Discipline[A4],Discipline[A1],Discipline[A5],Discipline[other],Gender,CareerStatus,CareerStatus[other],Institution,Institution[other],NPublishedCor,PDepositedCor,CorSomeComparison[A1],CorSomeComparison[A2],CorSomeComparison[A3],CorSomeComparison[A4],CorSomeComparison[A5],CorSomeComparison[A6],CorSomeDeposited[A1],CorSomeDeposited[A2],CorSomeDeposited[A3],CorSomeDeposited[A4],CorSomeDeposited[A5],CorSomeDeposited[A6],CorSomeDeposited[A7],CorSomeDeposited[A8],CorSomeDeposited[A9],CorSomeDeposited[A10],CorSomeDeposited[A11],CorSomeDeposited[A12],CorSomeDeposited[A13],CorAllDeposited[A1],CorAllDeposited[A2],CorAllDeposited[A3],CorAllDeposited[A4],CorAllDeposited[A5],CorAllDeposited[A6],CorAllDeposited[A7],CorAllDeposited[A8],CorAllDeposited[A9],CorAllDeposited[A10],CorAllDeposited[A11],CorAllDeposited[A12],CorAllDeposited[A13],CorSomeNotDeposited[A1],CorSomeNotDeposited[A2],CorSomeNotDeposited[A3],CorSomeNotDeposited[A4],CorSomeNotDeposited[A5],CorSomeNotDeposited[A6],CorSomeNotDeposited[A7],CorSomeNotDeposited[A8],CorSomeNotDeposited[A9],CorNoneNotDeposited[A1],CorNoneNotDeposited[A2],CorNoneNotDeposited[A3],CorNoneNotDeposited[A4],CorNoneNotDeposited[A5],CorNoneNotDeposited[A6],CorNoneNotDeposited[A7],CorNoneNotDeposited[A8],CorNoneNotDeposited[A9],interviewtime,groupTime1260,CountryTime,DisciplineTime,GenderTime,CareerStatusTime,InstitutionTime,groupTime1258,NPublishedCorTime,PDepositedCorTime,groupTime1259,CorSomeComparisonTime,CorComparisonFreeTime,CorSomeDepositedTime,CorAllDepositedTime,CorDepositedFreeTime,CorSomeNotDepositedTime,CorNoneNotDepositedTime,CorNotDepositedFreeTime,groupTime1261,FeedbackSurveyTime,FollowUpParticipantTime,FollowUpEmailTime
39,,,en,2020-12-03 11:28:49,2020-12-03 11:28:49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
40,,,en,2020-12-03 11:29:35,2020-12-03 11:29:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
41,2020-12-03 11:31:49,4.0,en,2020-12-03 11:30:00,2020-12-03 11:31:49,France,,Yes,No,No,No,No,,Male,Postdoctoral researcher,,University,,1-2,All of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,Agree,Strongly agree,Strongly disagree,Neutral,Disagree,Strongly agree,Strongly disagree,Neutral,Strongly agree,Agree,Neutral,Neutral,Strongly disagree,,,,,,,,,,,,,,,,,,,110.42,24.87,,,,,,18.17,,,60.19,,,,,,,,,7.19,,,
42,,,en,2020-12-03 11:31:11,2020-12-03 11:31:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
43,2020-12-03 11:35:45,4.0,en,2020-12-03 11:31:20,2020-12-03 11:35:45,the United Kingdom of Great Britain and Northern Ireland,,No,No,No,No,No,Political economy,Male,Professor,,University,,6-10,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly disagree,Agree,Strongly disagree,Agree,Strongly disagree,Neutral,Disagree,Strongly disagree,Neutral,265.98,92.0,,,,,,77.34,,,69.34,,,,,,,,,27.3,,,
44,2020-12-03 11:36:04,4.0,en,2020-12-03 11:32:19,2020-12-03 11:36:04,Switzerland,,No,Yes,No,No,No,,Male,Postdoctoral researcher,,University,,3-5,All of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,Strongly agree,Disagree,Neutral,Agree,Neutral,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Disagree,Agree,,,,,,,,,,,,,,,,,,,226.34,62.37,,,,,,24.22,,,123.05,,,,,,,,,16.7,,,
45,2020-12-03 11:47:22,4.0,en,2020-12-03 11:34:28,2020-12-03 11:47:22,Spain,,No,No,No,No,No,ECONOMIC HISTORY,Male,Other,INDEPENDENT SCHOLAR,Non-university research institution,,21+,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Disagree,Neutral,Agree,Disagree,776.48,80.37,,,,,,45.62,,,627.85,,,,,,,,,22.64,,,
46,2020-12-03 11:39:59,4.0,en,2020-12-03 11:37:21,2020-12-03 11:39:59,the United Kingdom of Great Britain and Northern Ireland,,Yes,Yes,No,No,No,,Male,Assistant Professor,,University,,3-5,Some of these articles were also deposited as working paper*,Neutral,Disagree,Neutral,Disagree,Agree,Agree,Strongly agree,Disagree,Strongly disagree,Agree,Neutral,Agree,Neutral,Agree,Agree,Disagree,Disagree,Neutral,Disagree,,,,,,,,,,,,,,Neutral,Disagree,Strongly disagree,Neutral,Agree,Disagree,Neutral,Neutral,Neutral,,,,,,,,,,160.49,26.94,,,,,,9.15,,,105.63,,,,,,,,,18.77,,,
47,,,en,2020-12-03 11:38:21,2020-12-03 11:38:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
48,2020-12-03 11:41:25,4.0,en,2020-12-03 11:38:42,2020-12-03 11:41:25,South Africa,,No,No,No,No,No,Behavioural Economics,Female,Associate Professor,,University,,6-10,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Strongly agree,Strongly disagree,Strongly disagree,164.73,52.25,,,,,,52.38,,,47.79,,,,,,,,,12.31,,,
49,2020-12-03 11:44:16,4.0,en,2020-12-03 11:38:49,2020-12-03 11:44:16,Ethiopia,,No,No,No,Yes,No,,Male,Assistant Professor,,University,,3-5,Some of these articles were also deposited as working paper*,Disagree,Disagree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Agree,,,,,,,,,,,,,,Neutral,Neutral,Agree,Neutral,Neutral,Disagree,Disagree,Neutral,Neutral,,,,,,,,,,328.34,49.43,,,,,,38.49,,,229.34,,,,,,,,,11.08,,,
50,,2.0,en,2020-12-03 11:41:43,2020-12-03 11:45:30,Finland,,No,No,No,No,No,Economic geography,Male,Professor,,University,,11-20,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.0,168.66,,,,,,59.34,,,,,,,,,,,,,,,
51,2020-12-03 11:47:36,4.0,en,2020-12-03 11:42:26,2020-12-03 11:47:36,Germany,,No,No,No,No,No,Economic Geography,Male,Professor,,University,,6-10,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral,Neutral,Neutral,Agree,Disagree,Disagree,Disagree,Agree,Neutral,312.79,72.88,,,,,,82.73,,,132.97,,,,,,,,,24.21,,,
52,2020-12-03 11:45:37,4.0,en,2020-12-03 11:42:59,2020-12-03 11:45:37,Germany,,Yes,No,No,No,No,,Female,PhD student,,University,,1-2,All of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,Agree,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Neutral,Disagree,Strongly disagree,,,,,,,,,,,,,,,,,,,159.99,23.46,,,,,,21.57,,,98.54,,,,,,,,,16.42,,,
53,2020-12-03 11:49:32,4.0,en,2020-12-03 11:43:54,2020-12-03 11:49:32,Denmark,,No,No,No,No,Yes,,Male,Other,Senior Researcher,Non-university research institution,,3-5,Some of these articles were also deposited as working paper*,Agree,Agree,Agree,Agree,Neutral,Strongly agree,Strongly agree,Disagree,Disagree,Neutral,Neutral,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Neutral,Neutral,,,,,,,,,,,,,,Disagree,Disagree,Disagree,Neutral,Disagree,Disagree,Agree,Disagree,Disagree,,,,,,,,,,340.54,93.15,,,,,,15.27,,,184.24,,,,,,,,,47.88,,,
54,2020-12-03 11:49:43,4.0,en,2020-12-03 11:44:05,2020-12-03 11:49:43,Italy,,No,Yes,No,No,No,,Male,Other,Adjunct professor,University,,3-5,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,339.74,56.74,,,,,,88.12,,,184.44,,,,,,,,,10.44,,,
55,2020-12-03 11:49:39,4.0,en,2020-12-03 11:44:18,2020-12-03 11:49:38,Germany,,No,No,No,No,No,"Biodiversity research, Science-policy",Male,Other,"Science officer, post MSc without PhD",University,,6-10,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disagree,Neutral,Disagree,Neutral,Neutral,Neutral,Disagree,Disagree,Strongly disagree,321.4,66.21,,,,,,62.15,,,179.04,,,,,,,,,14.0,,,
56,,,en,2020-12-03 11:44:24,2020-12-03 11:44:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
57,2020-12-03 11:48:53,4.0,en,2020-12-03 11:44:40,2020-12-03 11:48:53,Russian Federation,,Yes,No,No,No,No,Business and Management,Female,Assistant Professor,,University,,3-5,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Neutral,Disagree,Neutral,Neutral,254.87,48.22,,,,,,80.07,,,96.61,,,,,,,,,29.97,,,
58,2020-12-03 11:54:25,4.0,en,2020-12-03 11:46:42,2020-12-03 11:54:25,Czech Republic,,No,No,No,No,No,Marketing and business,Male,Assistant Professor,,University,,21+,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disagree,Disagree,Disagree,Agree,Disagree,Neutral,Disagree,Disagree,Disagree,464.45,58.24,,,,,,282.45,,,116.06,,,,,,,,,7.7,,,
59,,,en,2020-12-03 11:47:31,2020-12-03 11:47:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
60,2020-12-03 11:54:23,4.0,en,2020-12-03 11:48:48,2020-12-03 11:54:23,Australia,,No,No,No,No,No,Marketing,Male,Assistant Professor,,University,,21+,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral,Disagree,Disagree,Agree,Neutral,Disagree,Agree,Strongly disagree,Disagree,337.09,65.0,,,,,,26.2,,,214.95,,,,,,,,,30.94,,,
